config,gene,rna_protein_correlation,rna_trust,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties
A1b_no_protein_evidence,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,0.794973544973545,0.8181818181818182
A2_no_confidence,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.3333333333333333,0.5,0.38685280723454163,0.2,0.5,0.38685280723454163,0.2,1.0,0.5912352048230277,0.5,0.8161375661375662,0.6666666666666666
A3_equal_bio,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.3333333333333333,0.5,0.38685280723454163,0.4,1.0,0.6509209298071326,0.2,1.0,0.6509209298071326,0.5,0.7824074074074074,0.8181818181818182
A3b_reversed_bio,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.3333333333333333,0.5,0.3065735963827292,0.4,1.0,0.5706417189553201,0.2,1.0,0.5706417189553201,0.3333333333333333,0.7843915343915344,0.8181818181818182
A4_adaptive_trust,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.6666666666666666,1.0,0.6934264036172708,0.4,1.0,0.6934264036172708,0.2,1.0,0.6934264036172708,0.5,0.7757936507936508,1.0
A5_v3_structure,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.3333333333333333,0.5,0.3065735963827292,0.4,1.0,0.5706417189553201,0.2,1.0,0.5706417189553201,0.3333333333333333,0.6911375661375662,1.0
A6_v3_full,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.3333333333333333,0.5,0.3065735963827292,0.4,1.0,0.5706417189553201,0.2,1.0,0.5706417189553201,0.3333333333333333,0.6911375661375662,1.0
B0_rna_mean,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.4,0.6666666666666666,0.7039180890341347,0.2,0.6666666666666666,0.7039180890341347,1.0,,0.5384615384615384
A0_team_baseline,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.4,0.6666666666666666,0.7653606369886217,0.3,1.0,0.9134015924715543,1.0,,1.0
A1a_no_direct_protein,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.4,0.6666666666666666,0.7039180890341347,0.3,1.0,0.8710785440003369,1.0,,0.42857142857142855
A1b_no_protein_evidence,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,0.6666666666666666,0.6713860725233041,0.2,0.6666666666666666,0.6713860725233041,1.0,,0.6666666666666666
A2_no_confidence,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.4,0.6666666666666666,0.41618115554873086,0.2,0.6666666666666666,0.41618115554873086,0.3333333333333333,,0.42857142857142855
A3_equal_bio,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.4,0.6666666666666666,0.7653606369886217,0.2,0.6666666666666666,0.7653606369886217,1.0,,0.8181818181818182
A3b_reversed_bio,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.4,0.6666666666666666,0.7653606369886217,0.2,0.6666666666666666,0.7653606369886217,1.0,,0.8181818181818182
A4_adaptive_trust,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.4,0.6666666666666666,0.7653606369886217,0.3,1.0,0.9134015924715543,1.0,,1.0
A5_v3_structure,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.4,0.6666666666666666,0.7653606369886217,0.2,0.6666666666666666,0.7653606369886217,1.0,,0.6666666666666666
A6_v3_full,MITF,0.5741562492978772,1.0,1513,3,3,0,0,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.4,0.6666666666666666,0.7653606369886217,0.2,0.6666666666666666,0.7653606369886217,1.0,,0.6666666666666666
B0_rna_mean,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877,0.125,,0.3333333333333333
A0_team_baseline,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877,0.125,,1.0
A1a_no_direct_protein,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,,0.8181818181818182
A1b_no_protein_evidence,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.3333333333333333,1.0,0.5,0.2,1.0,0.5,0.1,1.0,0.5,0.3333333333333333,,0.5384615384615384
A2_no_confidence,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3333333333333333,0.14285714285714285,,0.3333333333333333
A3_equal_bio,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,,0.8181818181818182
A3b_reversed_bio,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877,0.125,,0.6666666666666666
A4_adaptive_trust,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877,0.125,,1.0
A5_v3_structure,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,,0.5384615384615384
A6_v3_full,MSLN,0.855017226376724,1.0,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,,0.5384615384615384
B0_rna_mean,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.4,0.2222222222222222,0.3156484524795145,0.5,0.5555555555555556,0.45497342867530605,0.3333333333333333,,0.42857142857142855
A0_team_baseline,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.2,0.1111111111111111,0.16958010263680806,0.5,0.5555555555555556,0.40871906810318376,0.3333333333333333,,1.0
A1a_no_direct_protein,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.2960819109658652,0.4,0.2222222222222222,0.34519134224686937,0.5,0.5555555555555556,0.4650421913916868,0.5,,0.5384615384615384
A1b_no_protein_evidence,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.4,0.2222222222222222,0.30078518014914984,0.6,0.6666666666666666,0.5092233974362815,0.3333333333333333,,0.42857142857142855
A2_no_confidence,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.4,0.2222222222222222,0.30078518014914984,0.4,0.4444444444444444,0.3609479370827912,0.3333333333333333,,0.42857142857142855
A3_equal_bio,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.0,0.0,0.0,0.2,0.1111111111111111,0.14606834984270645,0.5,0.5555555555555556,0.39242490160824134,0.25,,1.0
A3b_reversed_bio,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.0,0.0,0.0,0.2,0.1111111111111111,0.14606834984270645,0.5,0.5555555555555556,0.39780129913593965,0.25,,1.0
A4_adaptive_trust,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.2,0.1111111111111111,0.16958010263680806,0.5,0.5555555555555556,0.40871906810318376,0.3333333333333333,,1.0
A5_v3_structure,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.0,0.0,0.0,0.4,0.2222222222222222,0.27727342735504823,0.5,0.5555555555555556,0.405004415755725,0.25,,1.0
A6_v3_full,PTPRC,0.8913273507674984,1.0,1513,9,9,0,0,0.0,0.0,0.0,0.4,0.2222222222222222,0.27727342735504823,0.5,0.5555555555555556,0.405004415755725,0.25,,1.0
